id,year,university,title,abstract
28808,2019,UIN Sunan Gunung Djati Bandung,"Menentukan fungsi pembangkit menggunakan metode Snake Oil dan mengkaji beberapa identitas pada bilangan k-Jacobsthal, k-Jacobsthal-Lucas, dan k-Pell-Lucas.",jacobsthal jacobsthal lucas pell lucas definisi rekursif tentu karakteristik akar karakteristik tentu formula bet formula bet bukti identitas cassiny identitas catalan identitas docagne rekursif salah butuh langkah snake selesai langkah langkah butuh snake tentu bangkit kunci identitas cassiny identitas catalan identitas docagne bangkit snake jacobsthal jacobsthal lucas pell lucas numbers defined recursively numbers determined characteristic equation that roots characteristic equation futhermore bet formula numbers determined bet formula will used prove cassiny identity catalan identity docagne identity recursive definitions numbers also things needed steps snake method after completing steps needed snake method determine generating function number keywords cassiny identity catalan identity docagne identity generating function snake method
26662,2019,UIN Sunan Gunung Djati Bandung,"Penyelesaian masalah penugasan dengan menggunakan Pendekatan Optimal Diagonal, Heuristic Method dan Hungarian Method.",teliti tugas optimal data imbang data imbang selesai tugas dekat optimal diagonal heuristic method hungarian method banding solusi optimal cari tugas hasil solusi optimal baik teliti selesai dekat optimal diagonal hungarian method hasil nilai solusi optimal iterasi beda heuristic method hasil nilai solusi optimal teliti simpul dekat optimal diagonal heuristic method hungarian method
20318,2019,UIN Sunan Gunung Djati Bandung,Nilai ketakteraturan sisi pada graf hasil kali Comb P_m dan C_n.,label titik label graf sederhana bulat positif bobot sisi jumlah label label titik titik ujung notasi label titik definisi label atur sisi graf sisi beda minimum graf label atur sisi nilai ketakteraturan sisi notasi skripsi tentu nilai eksak nilai ketakteraturan sisi graf kali comb
24065,2019,UIN Sunan Gunung Djati Bandung,Menentukan model terbaik menggunakan kriteria Informasi  ϕ-divergensi pada model Log Linier Multivariat.,indonesia pilih model kriteria informasi akaike information criterian bayesian information criterian kriteria informasi sampel bentuk sederhana skripsi dekat kriteria informasi divergensi kondisi sampel model skripsi model linier multivariat dimensi model milik kategori estimasi parameter model maximum likelihood estimation cocok model likelihood ratio square terap model implementasi data dapat asli daerah jenis daerah duduk luas wilayah indonesia kabupaten kota studi kombinasi model model penuh cocok model tentu model baik kriteria informasi divergensi english selection model initially information criteria such akaike information criterian baesian information criterian information criteria only used samples that large because their simple form this thesis discusses divergence information criterion approach large sample conditions model used this thesis four dimensional multivariate model that model that four categorical variables estimation model parameters using maximum likelihood estimation method with model compatibility test using likelihood ratio square application model implemented data local revenue based type region population area indonesia with districts cities from case study there were model combinations models were obtained that model test which then determined best model using divergence information criteria
26789,2019,UIN Sunan Gunung Djati Bandung,Penyelesaian masalah penugasan menggunakan Average Total Opportunity Cost Method (ATOCM) dan Metode SS (Seethalakshmy Srinivasan).,teliti tugas teliti banding selesai tugas average total opportunity cost method atocm seethalakshmy srinivasan selesai tugas average total opportunity cost method atocm reduksi baris kolom total opportunity cost table lanjut tahap algoritma alokasi tugas selesai tugas reduksi baris alokasi tugas muat nilai baris aplikasi average total opportunity cost method atocm seethalakshmy srinivasan objek teliti banding solusi optimal banding seethalakshmy srinivasan optimal banding average total opportunity cost method atocm
26722,2019,UIN Sunan Gunung Djati Bandung,Analisi Model Economic Order Quantity untuk Deteriorating items dengan tingkat permintaan kuadratik dan penundaan pembayaran.,teliti optimal biaya total sedia perhati barang deteriorasi tingkat minta kuadratik tunda bayar oleh biaya total optimal cari biaya simpan biaya deteriorasi biaya siap biaya bunga tunda bayar usaha bunga jual usaha produksi genteng metal pesan optimal biaya simpan biaya deteriorasi beban bunga usaha total biaya persediaa keluar usaha analisis sensitivitas amat ubah parameter besar tingkat deteriorisasi interval pesan cepat pesan optimal sebab barang terdeteriorisasi barang alami deteriorisasi akibat biaya total sedia kecil
20428,2019,UIN Sunan Gunung Djati Bandung,"Perbandingan metode Least Cost, Reduction, dan Average Penalty untuk menyelesaikan solusi layak awal masalah transportasi.",teliti banding solusi layak selesai transportasi least cost reduction average penalty least cost alokasi sistematik langsung biaya kecil tabel transportasi perhati minta tawar reduction tentu biaya kecil baris kolom kurang biaya baris kolom biaya kecil nilai baris kolom average penalty nilai baris kolom cari penalti baris kolom aplikasi least cost reduction average penalty objek teliti banding solusi layak banding average penalty baik biaya distribusi minimum banding least cost reduction
33167,2019,UIN Sunan Gunung Djati Bandung,Document embedding menggunakan paragraph vector untuk clustering terjemahan ayat-ayat Al-Qur'an.,kembang pesat bidang teknologi informasi hasil data agam gali data data mining ekstrak informasi guna hadap data teks objek kalimat paragraf dokumen text embedding konversi objek bentuk numerik jarang terap data mining dekat embedding bas prediksi naskah naskah agama motivasi utama teliti paragraph vector hasil representasi numerik teks terjemah tafsir tafsir quran bahasa indonesia analogi semantik sintaksis hasil paragraph vector data mining clustering kelompok dokumen terjemah pokok pokok bahas quran clarans kelompok pokok bahas quran korelasi nilai baik ukur internal cluster silhouette coefficient davies bouldin index rapid development information technology produces very large diverse data data mining then carried extract useful information when dealing with text data objects words sentences paragraphs documents where text embedding used convert these objects into numeric form lack application data mining methods predictive based text embedding religious texts motivation this study paragraph vector then used produce numerical representation translations interpretations tafseer indonesian from analogy test form semantic questions syntactic questions word vectors obtained paragraph vector able answer each question type correctly data mining methods such clustering then used classify document vectors from translation subjects using clarans groups subjects were obtained with best value internal cluster measurements silhouette coefficient davies bouldin index respectively
29775,2019,UIN Sunan Gunung Djati Bandung,Model regresi data panel terbaik untuk faktor penentu laba neto perusahaan asuransi umum Syariah di Indonesia.,data panel gabung data cross section data time series model regresi data panel baik teliti random effect model faktor tentu laba neto
23895,2019,UIN Sunan Gunung Djati Bandung,Analisis kestabilan dari model SEIR untuk transmisi virus hepatitis C dengan pengobatan pada populasi terinfeksi kronis.,sakit hepatitis salah sakit sehat dunia sakit sebab virus hepatitis tipe banyak individu sadar infeksi hepatitis kronis individu infeksi obat medis sebab rusa hati mati model usul salah alternatif tingkat paham tular cegah sebar virus hepatitis obat populasi infeksi kronis tugas model tipe seir kompartemen rentan infeksi jangkit infeksi infeksi akut infeksi kronis sembuh infeksi model milik titik timbang titik timbang bebas sakit representasi virus wabah titik endemik representasi virus wabah interaksi individu titik timbang bebas sakit milik syarat eks stabil titik timbang endemik milik syarat eks stabil angka reproduksi dasar infeksi sekunder sebar virus analisis sensitivitas pengaruh cegah sebar obat hepatitis analisis simulasi derita hepatitis kronis obat medis bantu tekan sebar virus
